address,c_b_no,Borough
114 WEST 125 STREET,110,MANHATTAN
506 3 AVENUE,306,BROOKLYN
722 COURT STREET,306,BROOKLYN
2419 JEROME AVENUE,207,BRONX
1030 SOUTHERN BOULEVARD,202,BRONX
1436 ST JOHNS PLACE,308,BROOKLYN
585 EAST   31 STREET,317,BROOKLYN
103-08 NORTHERN BOULEVARD,403,QUEENS
68 SPRING STREET,102,MANHATTAN
99-10 217 LANE,413,QUEENS
2925 WEST   16 STREET,313,BROOKLYN
404 MIDWOOD STREET,309,BROOKLYN
51-51 69 PLACE,405,QUEENS
407 PARK AVENUE,105,MANHATTAN
164 11 AVENUE,104,MANHATTAN
2011 VYSE AVENUE,206,BRONX
316 EAST 165 STREET,204,BRONX
39-03 COLLEGE POINT BOULEVARD,NA,QUEENS
41 - 45 24 STREET,NA,QUEENS
2 WEST 47 STREET,105,MANHATTAN
304 WEST  150 STREET,110,MANHATTAN
450 GRAND AVENUE,302,BROOKLYN
350 CLARKSON AVENUE,317,BROOKLYN
230 20 STREET,307,BROOKLYN
650 MADISON STREET,303,BROOKLYN
1887 MC DONALD AVENUE,315,BROOKLYN
3169 VILLA AVENUE,207,BRONX
597 COURTLANDT AVENUE,201,BRONX
2136 CROTONA PARKWAY,206,BRONX
1 DEP PLAZA,101,MANHATTAN
1131 WILLOUGHBY AVENUE,304,BROOKLYN
305 23 STREET,307,BROOKLYN
1198 BEDFORD AVENUE,303,BROOKLYN
999 UNION AVENUE,203,BRONX
1711 CONEY ISLAND AVENUE,314,BROOKLYN
681 FLUSHING AVENUE,301,BROOKLYN
1516 1 AVENUE,108,MANHATTAN
228 20 STREET,307,BROOKLYN
112 COOPER STREET,304,BROOKLYN
1817 TOPPING AVENUE,205,BRONX
20-22 COLLEGE POINT BOULEVARD,407,QUEENS
122 LEXINGTON AVENUE,105,MANHATTAN
36-08 28 AVENUE,401,QUEENS
1111 DECATUR STREET,304,BROOKLYN
584 LEONARD STREET,301,BROOKLYN
55 LYNCH STREET,301,BROOKLYN
2160 POWELL AVENUE,209,BRONX
41-97 PARSONS BOULEVARD,407,QUEENS
200 EAST   75 STREET,108,MANHATTAN
2077 RYER AVENUE,205,BRONX
216 20 STREET,307,BROOKLYN
886 DAHILL ROAD,312,BROOKLYN
108 WEST 123 STREET,110,MANHATTAN
200 EAST   20 STREET,106,MANHATTAN
1872 RICHMOND TERRACE,501,STATEN ISLAND
86-50 DONGAN AVENUE,404,QUEENS
99-09 37 AVENUE,403,QUEENS
838 MONROE STREET,303,BROOKLYN
309 EAST  119 STREET,111,MANHATTAN
171 - 18 CROCHERON AVENUE,NA,QUEENS
61-13 UTOPIA PARKWAY,408,QUEENS
19 KANE PLACE,303,BROOKLYN
142 WEST 19 STREET,104,MANHATTAN
687 FLUSHING AVENUE,301,BROOKLYN
3273 3 AVENUE,203,BRONX
124 JAMAICA AVENUE,305,BROOKLYN
30 EAST 29 STREET,105,MANHATTAN
1594 2 AVENUE,108,MANHATTAN
21-18 44 DRIVE,402,QUEENS
1595 BROADWAY,304,BROOKLYN
26-30 4 STREET,401,QUEENS
40 WEST 29 STREET,105,MANHATTAN
232 EAST 18 STREET,314,BROOKLYN
519 SARATOGA AVENUE,316,BROOKLYN
228 13 STREET,306,BROOKLYN
1526 LINCOLN PLACE,308,BROOKLYN
1250 EAST 229 STREET,212,BRONX
743 WHITTIER STREET,202,BRONX
348 COURT STREET,306,BROOKLYN
436 ETNA STREET,305,BROOKLYN
760 MADISON AVENUE,108,MANHATTAN
88-14 SUTPHIN BOULEVARD,412,QUEENS
170 MARCY AVENUE,301,BROOKLYN
110 EAST GUN HILL ROAD,207,BRONX
880 ROGERS AVENUE,317,BROOKLYN
943 GRANT AVENUE,NA,BRONX
2317 CAMBRELENG AVENUE,206,BRONX
455 FULTON STREET,302,BROOKLYN
1739 GRAND AVENUE,205,BRONX
29 CLAY STREET,301,BROOKLYN
204 EAST   75 STREET,108,MANHATTAN
261 HULL STREET,316,BROOKLYN
921 EAGLE AVENUE,203,BRONX
403 EVERGREEN AVENUE,304,BROOKLYN
136-78 41 AVENUE,407,QUEENS
305 CALYER STREET,301,BROOKLYN
1988 3 AVENUE,111,MANHATTAN
3019 CORLEAR AVENUE,208,BRONX
1329 MORRIS AVENUE,204,BRONX
300 EAST   50 STREET,106,MANHATTAN
20-12 MOTT AVENUE,414,QUEENS
1946 OCEAN AVENUE,314,BROOKLYN
2708 GLENWOOD ROAD,314,BROOKLYN
132 WEST 130 STREET,110,MANHATTAN
1984 3 AVENUE,111,MANHATTAN
151 BOWERY,103,MANHATTAN
201 EAST 14 STREET,106,MANHATTAN
9 BUSHWICK AVENUE,NA,BROOKLYN
21-21 31 STREET,401,QUEENS
1888 CONEY ISLAND AVENUE,312,BROOKLYN
1773 WEEKS AVENUE,205,BRONX
250 WATER STREET,302,BROOKLYN
35-01 36 AVENUE,401,QUEENS
1481 2 AVENUE,108,MANHATTAN
1135 TELLER AVENUE,204,BRONX
1355 55 STREET,312,BROOKLYN
143 POWERS STREET,301,BROOKLYN
566 CARROLL STREET,306,BROOKLYN
17 WEST END AVENUE,315,BROOKLYN
537 WEST   59 STREET,107,MANHATTAN
353 2 AVENUE,106,MANHATTAN
97-26 147 PLACE,412,QUEENS
319 PROSPECT PLACE,308,BROOKLYN
4778 BROADWAY,112,MANHATTAN
437 4 AVENUE,306,BROOKLYN
712 EAST 187 STREET,206,BRONX
23-31 ASTORIA BOULEVARD,401,QUEENS
537 BROOKLYN AVENUE,309,BROOKLYN
62 MARTENSE STREET,314,BROOKLYN
26-18 4 STREET,401,QUEENS
21 FOSTER ROAD,503,STATEN ISLAND
623 ROGERS AVENUE,309,BROOKLYN
2423 BARKER AVENUE,211,BRONX
951 OLMSTEAD AVENUE,209,BRONX
114 15 STREET,307,BROOKLYN
121 WEST 125 STREET,110,MANHATTAN
36 WEST 66 STREET,107,MANHATTAN
6317 FT HAMILTON PARKWAY,310,BROOKLYN
296 WYTHE AVENUE,301,BROOKLYN
3178 VILLA AVENUE,207,BRONX
1325 BOSTON ROAD,203,BRONX
420 TOMPKINS AVENUE,303,BROOKLYN
159 BROADWAY,301,BROOKLYN
275 SPRING STREET,102,MANHATTAN
127 TROUTMAN STREET,304,BROOKLYN
4419 12 AVENUE,312,BROOKLYN
983 ST JOHNS PLACE,308,BROOKLYN
42-06 ORCHARD STREET,402,QUEENS
573 FULTON STREET,302,BROOKLYN
38 SKILLMAN AVENUE,301,BROOKLYN
16 WADE SQUARE,206,BRONX
2519 CRESTON AVENUE,207,BRONX
1255 DECATUR STREET,304,BROOKLYN
124-22 QUEENS BOULEVARD,409,QUEENS
98-69 QUEENS BOULEVARD,406,QUEENS
255 LORIMER STREET,301,BROOKLYN
585 FULTON STREET,302,BROOKLYN
292 GREENWICH STREET,101,MANHATTAN
1518 MACOMBS ROAD,204,BRONX
255 EAST 39 STREET,106,MANHATTAN
