address,c_b_no,Borough
538 3 AVENUE,106,MANHATTAN
2104 RYER AVENUE,NA,BRONX
3466 WEBSTER AVENUE,207,BRONX
414 EAST  152 STREET,201,BRONX
586 GERARD AVENUE,204,BRONX
118 WAVERLY AVENUE,302,BROOKLYN
1834 3 AVENUE,111,MANHATTAN
432 EAST    9 STREET,312,BROOKLYN
2502 NEWKIRK AVENUE,317,BROOKLYN
33-27 PRINCE STREET,407,QUEENS
118 15 STREET,307,BROOKLYN
45 GRAHAM AVENUE,301,BROOKLYN
2779 UNIVERSITY AVENUE,208,BRONX
103 EAST 29 STREET,105,MANHATTAN
63 METROPOLITAN AVENUE,301,BROOKLYN
1010 PACIFIC STREET,308,BROOKLYN
1424 VYSE AVENUE,203,BRONX
16 WEST 18 STREET,105,MANHATTAN
463 A HANCOCK STREET,303,BROOKLYN
489 STATE STREET,302,BROOKLYN
1239 EAST NEW YORK AVENUE,316,BROOKLYN
88 4 AVENUE,302,BROOKLYN
11-36 45 ROAD,402,QUEENS
935 EAST 179 STREET,206,BRONX
1409 FLATBUSH AVENUE,314,BROOKLYN
10 CLAY STREET,301,BROOKLYN
1080 WASHINGTON AVENUE,203,BRONX
2252 AQUEDUCT AVENUE,NA,BRONX
573 JACKSON AVENUE,201,BRONX
172-10 JAMAICA AVENUE,412,QUEENS
2660 KINGSBRIDGE TERRACE,207,BRONX
142-44 ROOSEVELT AVENUE,407,QUEENS
432 WEST   19 STREET,104,MANHATTAN
1816 HARRISON AVENUE,205,BRONX
2833 VALENTINE AVENUE,207,BRONX
91-23 CORONA AVENUE,404,QUEENS
88 NORTH    1 STREET,301,BROOKLYN
38-38 32 STREET,401,QUEENS
3880 9 AVENUE,112,MANHATTAN
319 WEST   38 STREET,104,MANHATTAN
1005 LORIMER STREET,301,BROOKLYN
2123 GLEBE AVENUE,210,BRONX
132 39 STREET,307,BROOKLYN
569 FULTON STREET,302,BROOKLYN
332 STAGG STREET,301,BROOKLYN
80 20 STREET,307,BROOKLYN
27-15 ASTORIA BOULEVARD,401,QUEENS
170 JAVA STREET,301,BROOKLYN
78 HARMAN STREET,304,BROOKLYN
1626 52 STREET,312,BROOKLYN
335 EAST 82 STREET,108,MANHATTAN
57-14 A GRANGER STREET,404,QUEENS
4519 WHITE PLAINS ROAD,212,BRONX
50 EAST  112 STREET,111,MANHATTAN
1759 WEST FARMS ROAD,203,BRONX
161 HOPE STREET,301,BROOKLYN
25 GREAT JONES STREET,102,MANHATTAN
3311 3 AVENUE,203,BRONX
2-21 MALT DRIVE,402,QUEENS
410 WEST  207 STREET,112,MANHATTAN
108-56 ROOSEVELT AVENUE,404,QUEENS
344 BUTLER STREET,306,BROOKLYN
371 STOCKHOLM STREET,304,BROOKLYN
740 EAST  137 STREET,201,BRONX
33 TROUTMAN STREET,304,BROOKLYN
174 MADISON STREET,NA,BROOKLYN
124 LEXINGTON AVENUE,105,MANHATTAN
3769 10 AVENUE,112,MANHATTAN
178 SKILLMAN AVENUE,301,BROOKLYN
144-10 LIBERTY AVENUE,412,QUEENS
91 BRUCKNER BOULEVARD,201,BRONX
781 ELSMERE PLACE,206,BRONX
107 SOUTH    3 STREET,301,BROOKLYN
215 WEST KINGSBRIDGE ROAD,208,BRONX
35 WEST 44 STREET,105,MANHATTAN
135-19 78 ROAD,408,QUEENS
1026 3 AVENUE,108,MANHATTAN
860 BRONX PARK SOUTH,206,BRONX
1001 UNION AVENUE,203,BRONX
27-20 42 ROAD,402,QUEENS
43-39 38 STREET,402,QUEENS
641 DEKALB AVENUE,303,BROOKLYN
2330 CAMBRELENG AVENUE,206,BRONX
400 LINDEN STREET,304,BROOKLYN
65 4 AVENUE,306,BROOKLYN
238 EAST   52 STREET,317,BROOKLYN
1971 MADISON AVENUE,111,MANHATTAN
101 ORIENTAL BOULEVARD,NA,BROOKLYN
175 HURON STREET,301,BROOKLYN
45-03 23 STREET,402,QUEENS
2960 MARION AVENUE,207,BRONX
342 WILLOUGHBY AVENUE,303,BROOKLYN
553 FULTON STREET,302,BROOKLYN
48 CEDAR STREET,304,BROOKLYN
160 PERRY STREET,102,MANHATTAN
43-34 53 STREET,402,QUEENS
461 ALABAMA AVENUE,305,BROOKLYN
30 BUSHWICK AVENUE,301,BROOKLYN
183A 13 STREET,306,BROOKLYN
195 HUMBOLDT STREET,301,BROOKLYN
1526 1 AVENUE,108,MANHATTAN
51 SHEFFIELD AVENUE,305,BROOKLYN
437 2 AVENUE,106,MANHATTAN
998 UNION STREET,309,BROOKLYN
180 ASHLAND PLACE,302,BROOKLYN
1400 FERRIS PLACE,210,BRONX
1 TEST STREET,101,MANHATTAN
2738 CRESTON AVENUE,207,BRONX
396 GATES AVENUE,303,BROOKLYN
74 NORTH    1 STREET,301,BROOKLYN
333 BROOME STREET,103,MANHATTAN
687 EAST  170 STREET,203,BRONX
31-61 VERNON BOULEVARD,401,QUEENS
1036 MANHATTAN AVENUE,301,BROOKLYN
430 VAN BRUNT STREET,306,BROOKLYN
1232 BAY STREET,NA,STATEN ISLAND
184 EAST  123 STREET,111,MANHATTAN
502 MIDWOOD STREET,309,BROOKLYN
206 NORTH    8 STREET,301,BROOKLYN
28 SPENCER PLACE,303,BROOKLYN
140-05 245 STREET,413,QUEENS
45 WEST 57 STREET,105,MANHATTAN
18 WEST   55 STREET,NA,MANHATTAN
75 DUPONT STREET,301,BROOKLYN
1329 SURF AVENUE,313,BROOKLYN
221 EAST 105 STREET,111,MANHATTAN
68 WEST  119 STREET,110,MANHATTAN
134-16 35 AVENUE,407,QUEENS
308 LIVINGSTON STREET,302,BROOKLYN
529 PRESIDENT STREET,306,BROOKLYN
45-05 48 AVENUE,402,QUEENS
183 AVENUE B,103,MANHATTAN
13 HUNTERFLY PLACE,303,BROOKLYN
2909 WEST 17 STREET,313,BROOKLYN
530 6 AVENUE,105,MANHATTAN
2721 COLDEN AVENUE,211,BRONX
43-12 HUNTER STREET,402,QUEENS
4002 FORT HAMILTON PARKWAY,312,BROOKLYN
4121 PAULDING AVENUE,212,BRONX
199 23 STREET,307,BROOKLYN
201 WEST 54 STREET,105,MANHATTAN
124 JAMAICA AVENUE,305,BROOKLYN
68 COMMERCIAL STREET,301,BROOKLYN
165 FRONT STREET,101,MANHATTAN
461 FULTON STREET,302,BROOKLYN
2903 FREDERICK DOUGLAS BOULEVARD,110,MANHATTAN
144 WEST  125 STREET,110,MANHATTAN
1504 MACOMBS ROAD,204,BRONX
106-02 ROCKAWAY BEACH BOULEVARD,NA,QUEENS
2411 64 STREET,311,BROOKLYN
188 BEDFORD AVENUE,301,BROOKLYN
416 METROPOLITAN AVENUE,301,BROOKLYN
2484 BEDFORD AVENUE,314,BROOKLYN
63 STOCKHOLM STREET,304,BROOKLYN
430 BELMONT AVENUE,305,BROOKLYN
64 19 STREET,307,BROOKLYN
123 WEST 57 STREET,105,MANHATTAN
21-31 SHORE BOULEVARD,401,QUEENS
33-32 FARRINGTON STREET,407,QUEENS
134 ERASMUS STREET,317,BROOKLYN
365 SHEPHERD AVENUE,305,BROOKLYN
622 MYRTLE AVENUE,303,BROOKLYN
357 BEDFORD AVENUE,301,BROOKLYN
1966 ATLANTIC AVENUE,308,BROOKLYN
270 EAST 2 STREET,103,MANHATTAN
509 EAST 118 STREET,111,MANHATTAN
665 FIFTH AVENUE,105,MANHATTAN
49 EAST HOUSTON STREET,102,MANHATTAN
651 JEFFERSON PLACE,203,BRONX
1925 FLATBUSH AVENUE,318,BROOKLYN
1450 CLAY AVENUE,204,BRONX
45-13 DAVIS STREET,402,QUEENS
3269 THIRD AVENUE,203,BRONX
3167 VILLA AVENUE,207,BRONX
243 EAST  202 STREET,207,BRONX
385 CLASSON AVENUE,303,BROOKLYN
236 BERRY STREET,301,BROOKLYN
463 EAST 57 STREET,106,MANHATTAN
117 EAST 55 STREET,105,MANHATTAN
2384 ATLANTIC AVENUE,NA,BROOKLYN
1595 2 AVENUE,108,MANHATTAN
1260 WARD AVENUE,209,BRONX
293 EAST 161 STREET,204,BRONX
76 BOWERY,102,MANHATTAN
188 16 STREET,307,BROOKLYN
25-41 BORDEN AVENUE,402,QUEENS
72-11 ROOSEVELT AVENUE,403,QUEENS
1110 CASTLETON AVENUE,501,STATEN ISLAND
2758 CRESTON AVENUE,207,BRONX
133 EAST 55 STREET,105,MANHATTAN
310 EAST 100 STREET,111,MANHATTAN
30 WEST 48 STREET,105,MANHATTAN
365 SHEPHERD AVENUE,305,BROOKLYN
966 WOODYCREST AVENUE,204,BRONX
237 PACIFIC STREET,302,BROOKLYN
247 18 STREET,NA,BROOKLYN
679 EVERGREEN AVENUE,304,BROOKLYN
3365 CRUGER AVENUE,212,BRONX
126 EAST 28 STREET,105,MANHATTAN
620 EAST   31 STREET,317,BROOKLYN
261 WALTON AVENUE,201,BRONX
58 WEST 125 STREET,110,MANHATTAN
256 WINTHROP STREET,309,BROOKLYN
31-27 THOMPSON AVENUE,402,QUEENS
1633 ST MARKS AVENUE,316,BROOKLYN
725 58 STREET,307,BROOKLYN
3097 VILLA AVENUE,207,BRONX
46 MELROSE STREET,304,BROOKLYN
100 SUYDAM STREET,304,BROOKLYN
157 AINSLIE STREET,301,BROOKLYN
584 4 AVENUE,307,BROOKLYN
480 SAINT JOHNS PLACE,308,BROOKLYN
322 MENAHAN STREET,304,BROOKLYN
415 MEEKER AVENUE,301,BROOKLYN
1048 FLUSHING AVENUE,304,BROOKLYN
810 EAST 165 STREET,203,BRONX
1487 1 AVENUE,NA,MANHATTAN
355 GRAND STREET,103,MANHATTAN
257 EAST 71 STREET,108,MANHATTAN
168 EAST 111 STREET,111,MANHATTAN
23-30 BORDEN AVENUE,402,QUEENS
3230 3 AVENUE,203,BRONX
282 17 STREET,307,BROOKLYN
872 EAST  164 STREET,202,BRONX
30-77 VERNON BOULEVARD,401,QUEENS
1492 PROSPECT PLACE,308,BROOKLYN
175 CHRYSTIE STREET,103,MANHATTAN
1418 46 STREET,312,BROOKLYN
31-16 21 STREET,401,QUEENS
288 EAST 88 STREET,NA,MANHATTAN
1120 ST JOHNS PLACE,308,BROOKLYN
2102 3 AVENUE,111,MANHATTAN
3160 VILLA AVENUE,207,BRONX
83-61 116 STREET,409,QUEENS
451 10 AVENUE,104,MANHATTAN
82-02 COOPER AVENUE,405,QUEENS
3099 VILLA AVENUE,207,BRONX
589 CHRISTOPHER AVENUE,316,BROOKLYN
250 EAST   83 STREET,108,MANHATTAN
91 GATEWAY DRIVE,305,BROOKLYN
2618 FULTON STREET,305,BROOKLYN
207 EAST 34 STREET,106,MANHATTAN
55 WILLOUGHBY STREET,302,BROOKLYN
33-71 PRINCE STREET,407,QUEENS
38-17 9 STREET,401,QUEENS
573 CLASSON AVENUE,303,BROOKLYN
112 COOPER STREET,304,BROOKLYN
5 PLATT STREET,101,MANHATTAN
2024 52 STREET,312,BROOKLYN
102 FLATBUSH AVENUE,302,BROOKLYN
1821 PROSPECT AVENUE,206,BRONX
75 MC GUINNESS BOULEVARD,301,BROOKLYN
100 FAIRVIEW AVENUE,112,MANHATTAN
99 GRANITE STREET,304,BROOKLYN
3162 VILLA AVENUE,207,BRONX
40-19 27 STREET,401,QUEENS
378 EAST 165 STREET,204,BRONX
374 CLASSON AVENUE,302,BROOKLYN
181 JACKSON STREET,301,BROOKLYN
245 WEST 34 STREET,105,MANHATTAN
647 MADISON STREET,303,BROOKLYN
1110 CASTLETON AVENUE,501,STATEN ISLAND
597 GRAND STREET,301,BROOKLYN
301 EAST 61 STREET,108,MANHATTAN
85 ADELPHI STREET,302,BROOKLYN
35-57 35 STREET,401,QUEENS
353 20 STREET,307,BROOKLYN
3093 VILLA AVENUE,207,BRONX
5 STUYVESANT PLACE,501,STATEN ISLAND
33-30 101 STREET,403,QUEENS
290 EAST 149 STREET,201,BRONX
493 EVERGREEN AVENUE,304,BROOKLYN
345 AVENUE U,315,BROOKLYN
191 CHAUNCEY STREET,303,BROOKLYN
660 EAST FORDHAM ROAD,NA,BRONX
113 EAST  184 STREET,205,BRONX
286 EAST  163 STREET,204,BRONX
16 WEST 45 STREET,105,MANHATTAN
171 THROOP AVENUE,303,BROOKLYN
641 WATKINS STREET,316,BROOKLYN
222 ORIENTAL BOULEVARD,315,BROOKLYN
173 CONSELYEA STREET,301,BROOKLYN
153 ASHLAND PLACE,302,BROOKLYN
1600 MACOMBS ROAD,205,BRONX
413 BOND STREET,306,BROOKLYN
275 LIVINGSTON STREET,302,BROOKLYN
124 PULASKI STREET,NA,BROOKLYN
339 WEST 38 STREET,104,MANHATTAN
57 SHEFFIELD AVENUE,305,BROOKLYN
173 EAST 205 STREET,207,BRONX
430 EAST 158 STREET,NA,BRONX
18 MONITOR STREET,301,BROOKLYN
33-33 PRINCE STREET,407,QUEENS
4513 8 AVENUE,312,BROOKLYN
42 TRINITY PLACE,101,MANHATTAN
1266 NEW YORK AVENUE,317,BROOKLYN
5094 BROADWAY,112,MANHATTAN
4572 MANHATTAN COLLEGE PARKWAY,208,BRONX
414REAR GATES AVENUE,303,BROOKLYN
138 SCHAEFER STREET,304,BROOKLYN
120 LEXINGTON AVENUE,105,MANHATTAN
288 EAST 88 STREET,NA,MANHATTAN
94-07 101 AVENUE,409,QUEENS
268 SKILLMAN STREET,NA,BROOKLYN
101-41 132 STREET,409,QUEENS
101 EAST 144 STREET,201,BRONX
64 NORTH    8 STREET,301,BROOKLYN
27-16A 21 STREET,401,QUEENS
74 GANSEVOORT STREET,102,MANHATTAN
45-05 23 STREET,402,QUEENS
24 EAST  103 STREET,111,MANHATTAN
1807 66 STREET,311,BROOKLYN
66 NORTH 8 STREET,301,BROOKLYN
75 SOUTH    8 STREET,301,BROOKLYN
1015 ATLANTIC AVENUE,302,BROOKLYN
9964 3 AVENUE,310,BROOKLYN
132 WEST 134 STREET,110,MANHATTAN
1255 DECATUR STREET,304,BROOKLYN
643 5 AVENUE,307,BROOKLYN
537 WEST   59 STREET,107,MANHATTAN
2510 WESTCHESTER AVENUE,210,BRONX
2301 BEAUMONT AVENUE,206,BRONX
215-16 NORTHERN BOULEVARD,411,QUEENS
2769A EAST 15 STREET,315,BROOKLYN
5702 AVENUE N,318,BROOKLYN
575 WEST   25 STREET,104,MANHATTAN
172 MADISON STREET,303,BROOKLYN
54 CLINTON PLACE,NA,BRONX
2720 JEROME AVENUE,207,BRONX
32 WEST 38 STREET,105,MANHATTAN
1128 ST JOHNS PLACE,308,BROOKLYN
2311 MORRIS AVENUE,205,BRONX
3041 OCEAN AVENUE,315,BROOKLYN
1947 BATHGATE AVENUE,206,BRONX
966 WOODYCREST AVENUE,204,BRONX
317 44 STREET,307,BROOKLYN
770 EAST 182 STREET,206,BRONX
211 NORTH 10 STREET,301,BROOKLYN
112 SCHAEFER STREET,304,BROOKLYN
315 LOCUST AVENUE,201,BRONX
89 THROOP AVENUE,301,BROOKLYN
859 LAFAYETTE AVENUE,303,BROOKLYN
313 LOCUST AVENUE,201,BRONX
569 PROSPECT AVENUE,201,BRONX
262 5 AVENUE,105,MANHATTAN
136 SUTTER AVENUE,316,BROOKLYN
270 14 STREET,306,BROOKLYN
1106 SURF AVENUE,313,BROOKLYN
102 NORTH    1 STREET,301,BROOKLYN
44-01 NORTHERN BOULEVARD,401,QUEENS
200 PARK AVENUE,NA,MANHATTAN
1700 EAST NEW YORK AVENUE,316,BROOKLYN
870 EAST 180 STREET,206,BRONX
1730 BEDFORD AVENUE,NA,BROOKLYN
484 SNEDIKER AVENUE,305,BROOKLYN
1981 MADISON AVENUE,111,MANHATTAN
322 MENAHAN STREET,304,BROOKLYN
2926 WEST 25 STREET,313,BROOKLYN
6402 14 AVENUE,NA,BROOKLYN
131 BROOME STREET,103,MANHATTAN
1598 2 AVENUE,108,MANHATTAN
25-16 37 AVENUE,NA,QUEENS
137 FROST STREET,301,BROOKLYN
1357 2 AVENUE,108,MANHATTAN
620 WEST 153 STREET,109,MANHATTAN
882 HOME STREET,202,BRONX
23 BRIGHTON   11 STREET,313,BROOKLYN
155-62 115 AVENUE,412,QUEENS
302 LIVINGSTON STREET,302,BROOKLYN
1420 PELHAM PARKWAY SOUTH,211,BRONX
33 FROST STREET,301,BROOKLYN
1828 WATERLOO PLACE,206,BRONX
5-17 47 ROAD,402,QUEENS
310 NORTH    7 STREET,301,BROOKLYN
241 HALSEY STREET,303,BROOKLYN
30-77 VERNON BOULEVARD,401,QUEENS
127-15 92 AVENUE,409,QUEENS
547 FULTON STREET,302,BROOKLYN
759 CLEVELAND STREET,305,BROOKLYN
202 EAST 77 STREET,108,MANHATTAN
149 NEW JERSEY AVENUE,305,BROOKLYN
29 WEST END AVENUE,315,BROOKLYN
50-42 69 PLACE,NA,QUEENS
100 FLATBUSH AVENUE,302,BROOKLYN
97 VARET STREET,301,BROOKLYN
682 SUTTER AVENUE,305,BROOKLYN
155 KING STREET,306,BROOKLYN
360 EAST  184 STREET,205,BRONX
54-21 ROOSEVELT AVENUE,402,QUEENS
2415 JEROME AVENUE,207,BRONX
136 SUTTER AVENUE,316,BROOKLYN
12-63 REDFERN AVENUE,414,QUEENS
22 WILSON AVENUE,304,BROOKLYN
97 LINDEN STREET,304,BROOKLYN
581 SARATOGA AVENUE,316,BROOKLYN
16-61 SUMMERFIELD STREET,405,QUEENS
1162 BROADWAY,105,MANHATTAN
50 PENNSYLVANIA AVENUE,305,BROOKLYN
200 MIDDLETON STREET,301,BROOKLYN
218 BUSH STREET,205,BRONX
108-50 ROOSEVELT AVENUE,404,QUEENS
3914 15 AVENUE,312,BROOKLYN
1133 58 STREET,312,BROOKLYN
679 MARCY AVENUE,303,BROOKLYN
1668 DEAN STREET,308,BROOKLYN
22-19 33 STREET,401,QUEENS
27-49 JACKSON AVENUE,402,QUEENS
5 - 12 47 AVENUE,NA,QUEENS
15 HURON STREET,301,BROOKLYN
906 EAST NEW YORK AVENUE,309,BROOKLYN
628 EAST   31 STREET,317,BROOKLYN
143 WEST 108 STREET,107,MANHATTAN
105 ROGERS AVENUE,308,BROOKLYN
495 11 AVENUE,104,MANHATTAN
1225 RANDALL AVENUE,202,BRONX
100-49 205 PLACE,412,QUEENS
89 GATEWAY DRIVE,305,BROOKLYN
147-18 95 AVENUE,412,QUEENS
30-19 CRESCENT STREET,401,QUEENS
501 WEST 39 STREET,104,MANHATTAN
1671 SHEEPSHEAD BAY ROAD,315,BROOKLYN
259 EAST 71 STREET,108,MANHATTAN
161 FT WASHINGTON AVENUE,112,MANHATTAN
203 7 AVENUE,104,MANHATTAN
2700 ATLANTIC AVENUE,305,BROOKLYN
95-25 WALTHAM STREET,412,QUEENS
139 FRANKLIN AVENUE,303,BROOKLYN
2948 BRIGHTON    4 STREET,313,BROOKLYN
305 CALYER STREET,NA,BROOKLYN
304 LIVINGSTON STREET,302,BROOKLYN
452 EAST   26 STREET,317,BROOKLYN
302 WEST 127 STREET,110,MANHATTAN
375 GROVE STREET,304,BROOKLYN
4382 3 AVENUE,206,BRONX
416 GATES AVENUE,303,BROOKLYN
1541 DEAN STREET,308,BROOKLYN
2183 MORRIS AVENUE,205,BRONX
86-55 QUEENS BOULEVARD,404,QUEENS
1626 52 STREET,312,BROOKLYN
196 FREEMAN STREET,301,BROOKLYN
100-15 NORTHERN BOULEVARD,403,QUEENS
38 EAST 2 STREET,103,MANHATTAN
51-40 35 STREET,402,QUEENS
87 - 46 52 AVENUE,NA,QUEENS
1609 47 STREET,312,BROOKLYN
1807 66 STREET,311,BROOKLYN
301 WHITTIER STREET,202,BRONX
170 NORTH 10 STREET,301,BROOKLYN
1506 SOUTHERN BOULEVARD,203,BRONX
200 MIDDLETON STREET,301,BROOKLYN
79 GANSEVOORT STREET,102,MANHATTAN
556 WEST 37 STREET,104,MANHATTAN
728 PROSPECT PLACE,308,BROOKLYN
221 NORTH   14 STREET,301,BROOKLYN
241 FRANKLIN AVENUE,303,BROOKLYN
647 WEST 237 STREET,208,BRONX
341 SHEPHERD AVENUE,305,BROOKLYN
1702 ANTHONY AVENUE,204,BRONX
1525 BRYANT AVENUE,203,BRONX
263 WEIRFIELD STREET,304,BROOKLYN
41-39 58 STREET,402,QUEENS
1066 JEFFERSON AVENUE,304,BROOKLYN
24 A WOODWARD AVENUE,405,QUEENS
132-47 METROPOLITAN AVENUE,409,QUEENS
32 WEST   48 STREET,105,MANHATTAN
280 SENATOR STREET,310,BROOKLYN
1964 YATES AVENUE,211,BRONX
1250 38 STREET,NA,BROOKLYN
118 NEW JERSEY AVENUE,305,BROOKLYN
792 EAST  169 STREET,203,BRONX
603 WEST 29 STREET,104,MANHATTAN
1596 2 AVENUE,108,MANHATTAN
4622 FORT HAMILTON PARKWAY,312,BROOKLYN
262 ROCKAWAY AVENUE,316,BROOKLYN
59 HENRY STREET,103,MANHATTAN
341 13 STREET,306,BROOKLYN
405 PARK AVENUE,105,MANHATTAN
183 COLUMBIA STREET,306,BROOKLYN
3294 ATLANTIC AVENUE,305,BROOKLYN
280 8 AVENUE,104,MANHATTAN
1345 71 STREET,310,BROOKLYN
49-02 5 STREET,402,QUEENS
57-14 37 AVENUE,402,QUEENS
1339 3 AVENUE,108,MANHATTAN
243 3 AVENUE,106,MANHATTAN
156 PERRY STREET,102,MANHATTAN
3761 10 AVENUE,112,MANHATTAN
2586 BAINBRIDGE AVENUE,207,BRONX
82 4 AVENUE,302,BROOKLYN
123 WEST 57 STREET,105,MANHATTAN
2039 WESTCHESTER AVENUE,209,BRONX
98-14 66 AVENUE,406,QUEENS
2150 CLINTON AVENUE,206,BRONX
1374 65 STREET,310,BROOKLYN
1725 VILLAGE LANE,414,QUEENS
11 WEST END AVENUE,315,BROOKLYN
375 GROVE STREET,304,BROOKLYN
370 FULTON STREET,302,BROOKLYN
622 MYRTLE AVENUE,303,BROOKLYN
424 EVERGREEN AVENUE,304,BROOKLYN
36-22 31 STREET,401,QUEENS
1568 AIR BROADWAY,105,MANHATTAN
46-12 70 STREET,402,QUEENS
126 5 AVENUE,306,BROOKLYN
1060 PRESIDENT STREET,309,BROOKLYN
418 EAST 153 STREET,201,BRONX
5718 7 AVENUE,307,BROOKLYN
81-05 CYPRESS AVENUE,405,QUEENS
1026 MANHATTAN AVENUE,301,BROOKLYN
859 LAFAYETTE AVENUE,303,BROOKLYN
5722 7 AVENUE,NA,BROOKLYN
331 ST NICHOLAS AVENUE,405,QUEENS
11 WEIRFIELD STREET,304,BROOKLYN
202 EAST   77 STREET,108,MANHATTAN
66 WEST  119 STREET,308,MANHATTAN
807 WASHINGTON AVENUE,308,BROOKLYN
5714 7 AVENUE,307,BROOKLYN
37-08 34 STREET,401,QUEENS
45-38 PEARSON STREET,402,QUEENS
53-20 90 STREET,404,QUEENS
435 CONEY ISLAND AVENUE,314,BROOKLYN
532 NEW YORK AVENUE,309,BROOKLYN
1196 BEDFORD AVENUE,NA,BROOKLYN
97-11 SUTPHIN BOULEVARD,412,QUEENS
97 WEST  169 STREET,NA,BRONX
2929 BRIGHTON    5 STREET,313,BROOKLYN
2718 FULTON STREET,305,BROOKLYN
441 4 AVENUE,306,BROOKLYN
2-29 50 AVENUE,402,QUEENS
31-19 29 STREET,401,QUEENS
630 CROWN STREET,309,BROOKLYN
368 EAST  152 STREET,201,BRONX
509 EAST  118 STREET,111,MANHATTAN
228 13 STREET,306,BROOKLYN
195 HIGHLAND PLACE,305,BROOKLYN
96 16 STREET,307,BROOKLYN
108 SAINT EDWARDS STREET,302,BROOKLYN
197 QUINCY STREET,303,BROOKLYN
621 EAST   21 STREET,314,BROOKLYN
42-11 30 AVENUE,401,QUEENS
1548 50 STREET,312,BROOKLYN
473 STATE STREET,302,BROOKLYN
21 CONSELYEA STREET,301,BROOKLYN
421 9 AVENUE,104,MANHATTAN
1828 ANTHONY AVENUE,205,BRONX
297 WALLABOUT STREET,301,BROOKLYN
129-19 101 AVENUE,409,QUEENS
214 EAST 125 STREET,111,MANHATTAN
389 EAST  198 STREET,207,BRONX
2324 WEBSTER AVENUE,206,BRONX
183-03 HILLSIDE AVENUE,408,QUEENS
216 WEST 103 STREET,107,MANHATTAN
676 CENTRAL AVENUE,304,BROOKLYN
4121 PAULDING AVENUE,212,BRONX
223 WEST 46 STREET,105,MANHATTAN
1624 JEFFERSON AVENUE,NA,QUEENS
716 EAST  224 STREET,212,BRONX
5805 BROADWAY,208,BRONX
7 WHIPPLE STREET,301,BROOKLYN
1550 WHITE PLAINS ROAD,209,BRONX
2127 HARRISON AVENUE,205,BRONX
56-15 VAN CLEEF STREET,404,QUEENS
420 GATES AVENUE,303,BROOKLYN
89-36 VAN WYCK BOULEVARD,409,QUEENS
2831 VALENTINE AVENUE,207,BRONX
718 BUSHWICK AVENUE,304,BROOKLYN
876 METROPOLITAN AVENUE,301,BROOKLYN
63 4 AVENUE,306,BROOKLYN
17 JANE STREET,102,MANHATTAN
327 BLEECKER STREET,102,MANHATTAN
1591 2 AVENUE,108,MANHATTAN
41 WEST 57 STREET,105,MANHATTAN
3 WILLIAMSBURG STREET WEST,302,BROOKLYN
43-46 39 PLACE,402,QUEENS
951 OLMSTEAD AVENUE,209,BRONX
207 WEST  140 STREET,110,MANHATTAN
2901 CRUGER AVENUE,211,BRONX
545 SACKETT STREET,306,BROOKLYN
21 LEFFERTS PLACE,302,BROOKLYN
